"player_name","team_name","games","total_fg3_att","total_fg3_made","observed_pct","estimated_talent_pure","shrinkage"
"Nuria Jurjo","Miami OH",23,77,34,0.441558441558442,0.347989716010263,0.0935687255481785
"Violet McNece","Morehead St",29,153,61,0.398692810457516,0.347811980955791,0.0508808295017251
"Sydne Tolbert","West Georgia",28,115,47,0.408695652173913,0.347795385111817,0.0609002670620961
"Imani Perez","Hawai’i",22,71,32,0.450704225352113,0.347685504655389,0.103018720696724
"Jessica Timmons","Alabama",33,181,73,0.403314917127072,0.34767682712593,0.0556380900011415
"Avery Howell","Washington",31,179,75,0.418994413407821,0.347606061700185,0.0713883517076366
"Grace Grocholski","Minnesota",29,156,66,0.423076923076923,0.347419890261933,0.0756570328149902
"Zoe Borter","Santa Barbara",27,143,57,0.398601398601399,0.34681823052166,0.0517831680797383
"Gisela Sanchez","Notre Dame",21,47,24,0.51063829787234,0.346618225832645,0.164020072039695
"Jenna Twedt","Northern Iowa",29,203,78,0.38423645320197,0.346225351572708,0.038011101629262
"Kaety L'Amoreaux","Fairfield",30,194,72,0.371134020618557,0.346086578150359,0.025047442468198
"Andjela Matic","LMU",28,148,59,0.398648648648649,0.345960498822775,0.0526881498258738
"Kailee McDonald","FDU",29,230,85,0.369565217391304,0.345887859213666,0.0236773581776383
"Daniela Gonzalez","South Alabama",32,147,58,0.394557823129252,0.345884409867096,0.0486734132621557
"Kenzie Hare","Iowa State",31,124,52,0.419354838709677,0.34579146365886,0.0735633750508171
"Aubrie Kierscht","SC Upstate",27,158,61,0.386075949367089,0.345690707084143,0.0403852422829458
"Jenna Guyer","Green Bay",26,131,52,0.396946564885496,0.345590186648784,0.0513563782367124
"Tierney Coleman","NC Central",19,55,25,0.454545454545455,0.345300109447713,0.109245345097741
"Kaylynn Janes","Northern Iowa",26,101,42,0.415841584158416,0.345288787302751,0.0705527968556645
"Cassie Gallagher","SC Upstate",29,150,58,0.386666666666667,0.345201091096818,0.0414655755698483
"Dominique Ennis","Rice",30,222,83,0.373873873873874,0.34502826559546,0.028845608278414
"Lena Walz","Mercyhurst",24,134,52,0.388059701492537,0.345025017559123,0.0430346839334145
"Danae Powell","Fresno St",28,110,45,0.409090909090909,0.344820283762288,0.064270625328621
"Karlee White","Harvard",17,58,27,0.46551724137931,0.344741261383943,0.120775979995368
"Lexus Bargesser","Colorado St",29,87,37,0.425287356321839,0.344579929107094,0.0807074272147449
"Iyana Moore","Notre Dame",28,181,71,0.392265193370166,0.344084315891531,0.0481808774786346
"Rhema Pegues","Jackson St",22,137,49,0.357664233576642,0.343667511413311,0.013996722163331
"Haylie Adamski","Lafayette",28,170,65,0.382352941176471,0.34349379158869,0.0388591495877804
"Alexia Weaver","Louisiana Tech",26,112,45,0.401785714285714,0.343303788333168,0.058481925952546
"Katie Davidson","South Florida",29,126,49,0.388888888888889,0.343209756592815,0.0456791322960738
"Lauren Olsen","CA Baptist",30,153,59,0.38562091503268,0.343181738443647,0.0424391765890327
"Lydia Melaschenko","Merrimack",28,226,82,0.36283185840708,0.34316539549166,0.0196664629154196
"Lihi Azouri","SE Louisiana",26,134,52,0.388059701492537,0.342328651936182,0.0457310495563555
"Cameron Thomas","Stetson",28,200,74,0.37,0.342288719925729,0.0277112800742713
"Devyn Kiernan","Southern Utah",25,112,45,0.401785714285714,0.342218165679556,0.0595675486061581
"Regan Juenemann","Omaha",29,134,54,0.402985074626866,0.342160984900578,0.0608240897262878
"Jianna Morris","Louisiana Tech",26,195,73,0.374358974358974,0.3420454290408,0.0323135453181742
"Taryn Sides","Kansas St",34,191,75,0.392670157068063,0.341901167218934,0.0507689898491287
"Kali Haizlip","UT Arlington",26,92,38,0.41304347826087,0.341727297366543,0.0713161808943268
"Naomi White","N Arizona",29,224,83,0.370535714285714,0.341542500794884,0.0289932134908308
"Rylie Theuerkauf","Georgia",31,166,66,0.397590361445783,0.341520811019477,0.0560695504263063
"Grace Nelson","Illinois St",27,92,38,0.41304347826087,0.341252447051797,0.0717910312090725
"Seleh Harmon","Pepperdine",27,118,47,0.398305084745763,0.341145712973153,0.0571593717726096
"Britt Prince","Nebraska",28,84,38,0.452380952380952,0.341046096879864,0.111334855501088
"Sarah Strong","UConn",30,113,46,0.407079646017699,0.34082729729083,0.066252348726869
"Jasmine Jones","West Georgia",29,236,86,0.364406779661017,0.340442177752738,0.0239646019082786
"Reza Po","E Texas A&M",26,106,42,0.39622641509434,0.340417977693934,0.0558084374004057
"Camryn Tade","Army",26,79,33,0.417721518987342,0.340224273539816,0.077497245447526
"Mikaylah Williams","LSU",30,103,43,0.41747572815534,0.340187928802069,0.0772877993532704
"Laila Abdurraqib","New Mexico",31,137,53,0.386861313868613,0.340156535150288,0.0467047787183248
"Emma Shumate","Michigan St",30,138,58,0.420289855072464,0.340122959661006,0.0801668954114576
"Riley Weiss","Columbia",26,200,74,0.37,0.340031146807399,0.0299688531926012
"Brooke Coffey","Lindenwood",30,101,41,0.405940594059406,0.339763990130471,0.0661766039289352
"Airah Lavy","FGCU",15,71,30,0.422535211267606,0.339746099642709,0.0827891116248965
"Talayah Walker","Georgia Tech",28,99,41,0.414141414141414,0.33964293780005,0.074498476341364
"Lily Krahn","Wisconsin",24,77,35,0.454545454545455,0.339631651859304,0.114913802686151
"Peyton Dincher","Le Moyne",30,112,43,0.383928571428571,0.339590255085593,0.0443383163429787
"Harmanie Dominguez","SF Austin",29,220,80,0.363636363636364,0.33945267402398,0.0241836896123836
"Tianna Thompson","Ole Miss",23,84,36,0.428571428571429,0.339390184481863,0.0891812440895659
"Trinity Rowe","Western KY",19,102,41,0.401960784313726,0.339363479236418,0.0625973050773077
"Flau'jae Johnson","LSU",31,109,45,0.412844036697248,0.339332698603624,0.073511338093624
"Joan Quinn","La Salle",27,112,44,0.392857142857143,0.339264343275361,0.0535927995817814
"Aysia Proctor","North Texas",27,122,47,0.385245901639344,0.339239296215312,0.046006605424032
"Mariah Elohim","UNLV",28,144,55,0.381944444444444,0.339161263898657,0.0427831805457877
"Marisa Frost","N Dakota St",27,85,36,0.423529411764706,0.339137567227455,0.0843918445372513
"Vanessa de Jesus","Notre Dame",31,117,47,0.401709401709402,0.339006580375372,0.0627028213340293
"Kayla Lorenz","UT Rio Grande",24,96,38,0.395833333333333,0.338864299636922,0.0569690336964112
"Gabby Mundy","Wofford",26,127,49,0.385826771653543,0.33884405600977,0.0469827156437735
"Chance Gray","Ohio State",32,195,78,0.4,0.338754454008891,0.0612455459911089
"Madi Morson","C Michigan",28,115,45,0.391304347826087,0.338680104535278,0.0526242432908087
